Height (km),Charge Density (normalized)
8.817635270541082,-0.09093993928757203
8.917835671342687,-0.08869018067928879
9.01803607214429,-0.08649607873665979
9.118236472945892,-0.08435625657221794
9.218436873747494,-0.08226937136124628
9.318637274549099,-0.08023411349910133
9.418837675350701,-0.07824920577938346
9.519038076152304,-0.07631340259243818
9.619238476953909,-0.07442548914368591
9.719438877755511,-0.07258428069128947
9.819639278557114,-0.07078862180268067
9.919839679358718,-0.0690373856294798
10.02004008016032,-0.06732947320035289
10.120240480961924,-0.06566381273136279
10.220440881763528,-0.06403935895338153
10.32064128256513,-0.062455092456141885
10.420841683366733,-0.06091001904851612
10.521042084168338,-0.0594031691346211
10.62124248496994,-0.05793359710535781
10.721442885771543,-0.05650038074500334
10.821643286573147,-0.055102620652483426
10.92184368737475,-0.05373943967696203
11.022044088176353,-0.05240998236739371
11.122244488977957,-0.05111341443569364
11.22244488977956,-0.049848922233188236
11.322645290581162,-0.0486157122400177
11.422845691382767,-0.04741301056717034
11.52304609218437,-0.046240062470836035
11.623246492985972,-0.04509613187877401
11.723446893787575,-0.04398050092839782
11.823647294589179,-0.04289246951628762
11.923847695390782,-0.041831354858847106
12.024048096192384,-0.040796491063829134
12.124248496993989,-0.03978722871246155
12.224448897795591,-0.03880293445191077
12.324649298597194,-0.037842990597827225
12.424849699398798,-0.03690679474672356
12.525050100200401,-0.03599375939794221
12.625250501002004,-0.03510331158497494
12.725450901803608,-0.03423489251590328
12.82565130260521,-0.03338795722273413
12.925851703406813,-0.03256197421941028
13.026052104208418,-0.03175642516828147
13.12625250501002,-0.030970804554826686
13.226452905811623,-0.030204619370423333
13.326653306613228,-0.029457388802964446
13.42685370741483,-0.028728643935129774
13.527054108216433,-0.028017927450121143
13.627254509018037,-0.027324793344677772
13.72745490981964,-0.026648806649191274
13.827655310621243,-0.025989543154744603
13.927855711422847,-0.025346589146903888
14.02805611222445,-0.024719541146095973
14.128256513026052,-0.024108005654408654
14.228456913827655,-0.023511598908654886
14.32865731462926,-0.022929946639545905
14.428857715430862,-0.022362683836822182
14.529058116232465,-0.021809454520194716
14.629258517034069,-0.021269911515953064
14.729458917835672,-0.02074371623909986
14.829659318637274,-0.02023053848087502
14.929859719438879,-0.01973005620153646
15.030060120240481,0.9957149044427556
15.130260521042084,0.9815634259927737
15.230460921843688,0.9676130737300433
15.330661322645291,0.9538609891727927
15.430861723446894,0.9403043544650783
15.531062124248498,0.9269403917993956
15.6312625250501,0.9137663628474959
15.731462925851703,0.9007795681992914
15.831663326653308,0.8879773468097356
15.93186372745491,0.8753570754535661
16.032064128256515,0.8629161681877929
16.132264529058116,0.8506520758218317
16.23246492985972,0.8385622853951612
16.332665330661325,0.8266443196624109
16.432865731462925,0.814895736585763
16.53306613226453,0.8033141288345669
16.633266533066134,0.7918971232920711
16.733466933867735,0.780642380569161
16.83366733466934,0.7695475945250075
16.933867735470944,0.7586104917945319
17.034068136272545,0.7478288313225835
17.13426853707415,0.737200403904738
17.234468937875754,0.7267230317346243
17.334669338677354,0.7163945679576826
17.43486973947896,0.706212896231265
17.535070140280563,0.6961759302909899
17.635270541082164,0.6862816135232577
17.73547094188377,0.6765279185438414
17.835671342685373,0.6669128467824698
17.935871743486974,0.6574344280733114
18.03607214428858,0.6480907202512792
18.13627254509018,0.6388798087540754
18.236472945891784,0.6297998062298872
18.336673346693388,0.6208488521506641
18.43687374749499,0.6120251124308866
18.537074148296593,0.6033267790517547
18.637274549098198,0.594752069690719
18.7374749498998,0.5862992273562755
18.837675350701403,0.5779665200279495
18.937875751503007,0.5697522403014006
19.03807615230461,0.5616547050385673
19.138276553106213,0.5536722550227844
19.238476953907817,0.5458032546188054
19.338677354709418,0.5380460914376531
19.438877755511022,0.5303991760062343
19.539078156312627,0.5228609414416516
19.639278557114228,0.515429843130143
19.739478957915832,0.5081043584105827
19.839679358717436,0.5008829862624843
19.939879759519037,0.49376424699843474
20.04008016032064,0.4867466819608997
20.140280561122246,0.4798288532233407
20.240480961923847,0.4730093432955771
20.34068136272545,0.4662867548333368
20.440881763527056,0.45965971035193587
20.541082164328657,0.4531268519440258
20.64128256513026,0.44668684100135264
20.741482965931866,0.440338357940472
20.841683366733466,0.43408010193236063
20.94188376753507,0.42791079063587095
21.042084168336675,0.4218291599349754
21.142284569138276,0.4158339636797437
21.24248496993988,0.4099239734310009
21.342685370741485,0.4040979782086171
21.442885771543086,0.39835478424337184
21.54308617234469,0.39269321473234575
21.643286573146295,0.38711210959779013
21.743486973947896,0.38161032524942207
